Industry,vocab
mining resources,"geologist, study, earth, materials, processes, various, applications, research, skills, analytical, thinking, problem, solving, physical, stamina, attention, detail, miner, extract, resources, underground, mines, safety, awareness, teamwork"
moving services,"moving, company, worker, pack, transport, household, office, items, physical, stamina, teamwork, customer, service, problem, solving, organization, furniture, mover, strength, lifting, techniques"
nonprofit,"online, fundraising, specialist, plan, execute, digital, campaign, nonprofits, marketing, communication, analytics, management, lead, donation, drives, volunteer, coordinator, remote, organization, technology, empathy, strategist, giving, strategy, project"
oil gas,"oil, rig, worker, operate, equipment, offshore, drilling, platforms, physical, stamina, safety, awareness, teamwork, problem, solving, stress, management, petroleum, engineer, design, extraction, methods, gas, resources, reservoir, technology, geology, protocols, cad"
personal care,"hair, stylist, provide, cutting, styling, coloring, services, creativity, communication, client, relations, manual, dexterity, trend, awareness"
personal services,"tailor, alter, create, customer, clothing, garments, manual, dexterity, attention, detail, service, problem, solving, creativity, cobbler, repair, restore, shoes, leather, goods, craftsmanship, upholsterer, reupholster, furniture, cushions, laundry, attendant, operate, equipment, fold, physical, stamina, time, management"
pest control,"pest, control, technician, identify, eliminate, infestations, problem, solving, safety, awareness, customer, service, attention, detail, environmental, bee, removal, specialist, safely, relocate, colonies, without, harm, animal, handling, protocols"
pet services,"aquarium, maintenance, specialist, care, fish, tanks, aquatic, ecosystems, biology, water, chemistry, equipment, customer, service, problem, solving, dog, walker, provide, exercise, pets, animal, handling, physical, fitness, reliability, love, communication, groomer, grooming, techniques, patience, stamina"
photography,"aerial, photography, pilot, capture, images, video, aircraft, drones, aviation, skills, technical, equipment, visual, composition, safety, protocols, bereavement, photographer, document, final, moments, memorial, services, families, empathy, discretion, communication, artistic"
postal services,"mail, carrier, deliver, packages, residential, business, addresses, physical, stamina, attention, detail, customer, service, navigation, time, management, clerk, sort, distribute, within, organization, activity"
professional services,"translate, written, spoken, content, language, proficiency, cultural, awareness, attention, detail, communication, adaptability, genealogist, research, family, histories, ancestry, records, historical, database, management, documentation, sign, interpreter, facilitate, deaf, hearing, individuals, fluency, empathy, genealogy, trace, ancestral, connections, skills, knowledge, professional, organization, help, business, spaces, problem, solving, customer, service, time, digital, legacy, planner, people, prepare, online, presence, death, technology, planning, legal, virtual, assistant, trainer, teach, remote, administrative, support, work"
public safety,"fire, fighter, respond, emergency, situations, provide, suppression, physical, fitness, teamwork, stress, management, problem, solving, safety, awareness, police, officer, enforce, laws, maintain, public, communication, ethical, reasoning, bomb, disposal, expert, safely, disarm, explosive, devices, knowledge, steady, hands, risk, assessment, attention, detail"
real estate,"real, estate, agent, help, clients, buy, sell, rent, properties, communication, negotiation, market, knowledge, relationship, building, persistence"
recreation,"recreation, coordinator, plan, organize, activity, programs, communication, leadership, time, management, creativity, camp, counselor, supervise, lead, children, patience, safety, awareness, golf, course, maintenance, maintain, playing, surfaces, attention, detail, physical, stamina, environmental, equipment, operation, problem, solving, wilderness, guide, outdoor, expeditions, teach, survival, skills, navigation, fitness, amusement, park, attendant, rides, assist, guests, procedures, customer, service, grounds, facilities, landscaping, labor, early, hours, lifeguard, monitor, swimming, areas, ensure, swimmers, cpr, first, aid, vigilance, ski, lift, skiers, weather, tolerance, boat, rental, rent, provide, instructions, knowledge"
regulatory affairs,"regulatory, affairs, specialist, ensure, compliance, industry, regulations, attention, detail, communication, analytical, thinking, problem, solving, organization, officer, organizational, laws, ethical, reasoning"
renewable energy,"solar, panel, install, maintain, energy, systems, safety, awareness, manual, dexterity, problem, solving, physical, fitness, environmental, wind, turbine, technician, repair, equipment, farm, management, oversee, renewable, operations, maintenance, project, protocols, team, leadership, analyst, evaluate, optimize, clean, analysis, data, interpretation, science, financial, modeling, market, research, electrical, skills, offshore, specialist, design, ocean, based, marine, engineering, thermal, harness, temperature, differences, power, thermodynamics, innovation, developer, plan, implement, finance, communication"
research development,"research, scientist, conduct, scientific, publish, findings, critical, thinking, skills, analytical, reasoning, persistence, writing, survey, taker, collect, data, respondents, communication, attention, detail, patience, computer"
retail,"cashier, process, customer, transactions, provide, service, attention, detail, communication, mathematics, accuracy, multitasking, retail, sales, associate, assist, persuasion, product, knowledge, patience, florist, design, arrange, flowers, various, occasions, creativity, color, theory, manual, dexterity, jeweler, repair, jewelry, precious, items, visual, skills, purchases, information, cash, handling, payments, point, systems, grocery, stores, clerk, stock, shelves, inventory, management, physical, labor, teamwork, receive, merchandise, organization"
risk management,"risk, management, analyst, identify, assess, business, mitigation, strategies, analytical, thinking, problem, solving, communication, research, skills, critical"
robotics,"robots, engineer, design, program, automated, systems, mechanical, integration, problem, solving, innovation"
safety compliance,"safety, coordinator, develop, implement, workplace, programs, awareness, communication, training, skills, problem, solving, leadership"
sales,"sales, representative, generate, lead, close, deals, potential, customer, persuasion, communication, relationship, building, resilience, goal, orientation, renewable, energy, consultant, sell, solar, panels, clean, systems, consumers, skills, knowledge, problem, solving, service, development, qualify, prospects, team, crm, process, telemarketer, make, outbound, calls, promote, product, persistence, computer, stress, management, business, identify, pursue, new, opportunities, strategy, market, analysis, negotiation, vp, organization, revenue, growth, leadership, executive, presence, assistant, gather, information, phone, data, entry, regions, operations, across, geographic, territory, relations, online, marketplace, oversee, digital, platforms, vendor, commerce, analytics, demo, specialist, showcase, virtual, presentation, technology, remote, retention, keep, clients, engaged, loyal, feedback, analyst, analyze, reviews, surveys, reporting, host, features, audiences"
science research,"meteorologist, study, weather, pattern, provide, forecasts, analytical, thinking, recognition, communication, data, interpretation, mathematical, reasoning, astronomer, celestial, objects, phenomena, space, research, skills, patience, biologist, living, organisms, biological, processes, problem, solving, attention, detail, scientific, writing, chemist, conduct, chemical, analysis, various, applications, safety, awareness, physicist, matter, energy, interactions, abstract, mathematician, develop, theories, logical, statistician, analyze, statistical, modeling, quantum, computer, algorithms, systems, physics, programming, innovation, paleontologist, fossil, remains, ancient, geological, knowledge, excavation, techniques, use, bioinformatics, specialist, methods, neuroengineering, brain, interface, neural, devices, neuroscience, engineering, dust, create, wireless, monitor, electronics, miniaturization, microbiome, analyst, beneficial, bacteria, human, environment, microbiology, laboratory, gravity, wave, detector, operator, cosmic, gravitational, disturbances, technical, telepathic, time, crystal, materials, repeating, prepare, clean, display, manual, dexterity, digital, wellness, effects, technology, health, behavior, psychology, critical, green, chemistry, environmental, friendly, science, ai, scientist, advanced, artificial, intelligence, machine, learning, deep, methodology, python, publication, technician, tests, experiments, settings, collection, equipment, protocols, assistant, support, projects, activities, literature, review, senior, lead, grant, team, leadership"
security,"security, guard, monitor, protect, property, people, vigilance, communication, problem, solving, stress, management, physical, fitness, locksmith, install, repair, locks, systems, manual, dexterity, attention, detail, customer, service, awareness, premises, ensure, safety, procedures, observation, skills, emergency, response"
social sciences,"political, scientist, study, systems, analyze, behavior, research, skills, analytical, thinking, critical, communication, writing, sociologist, human, society, social, culture, awareness, anthropologist, organization, adaptability, digital, technology, affects, anthropology, data, analysis"
social services,"social, worker, provide, support, services, individuals, families, empathy, communication, problem, solving, advocacy, skills, stress, management, disaster, victim, advocate, affected, natural, crisis, counseling, resource, coordination, virtual, reality, immersive, technology, work, innovation, indigenous, food, sovereignty, promote, traditional, systems, cultural, preservation, awareness, research, need, case"
space science,"space, weather, forecaster, predict, solar, activity, effects, earth, astronomy, data, analysis, mathematical, modeling, research, skills, communication, exoplanet, hunter, search, planets, outside, system, attention, detail"
specialized services,"watchmaker, repair, maintain, timepieces, clocks, manual, dexterity, attention, detail, patience, problem, solving, precision"
sports,"sports, coach, train, athletes, develop, game, strategies, leadership, communication, motivation, strategic, thinking, physical, fitness, trainer, provide, injury, prevention, treatment, assessment, problem, solving, safety, awareness, empathy, competitive, eating, professional, eaters, nutrition, knowledge, skills, psychology, performance, analysis, virtual, reality, use, immersive, technology, improve, innovation"
technology,"software, engineering, development, maintain, web, applications, use, modern, frameworks, problem, solving, logical, reasoning, attention, detail, teams, collaboration, critical, thinking, data, scientist, analyze, large, datasets, extract, business, insights, build, predictive, models, analytics, pattern, recognition, mathematics, research, skills, ux, design, user, friendly, interfaces, improve, experience, creativity, empathy, visual, centered, network, administrator, troubleshooting, computer, systems, technical, patience, devops, implement, ci, cd, pipelines, management, cloud, infrastructure, automation, mindset, continuous, learning, quality, assurance, tester, testing, identify, bug, ensure, systematic, websites, various, programming, languages, adapt, database, integrity, security, awareness, cybersecurity, analyst, monitor, protect, threats, ethical, mobile, app, ios, android, platforms, innovation, product, define, strategy, coordinator, strategic, leadership, communication, market, decisions, making, blockchain, create, decentralized, cryptocurrency, cryptography, distributed, protocols, hacker, vulnerabilities, cryptographer, encryption, holographic, three, dimensional, displays, 3d, optical, physics, vision, virtual, reality, immersive, digital, spatial, artificial, intelligence, trainer, training, machine, science, algorithm, intuitive, principles, psychology, prototyping, consultant, advise, organization, risk, assessment, plan, wearable, technology, smart, devices, health, equipment, electronics, augmented, blend, world, telepresence, robots, operations, control, remote, mining, currency, hardware, energy, twin, replicas, analysis, quantum, specialist, ultra, mechanics, swarm, groups, autonomous, working, together, sensor, precise, measurement, instruments, ai, auditor, evaluate, bias, fairness, accessibility, usability, people, disabilities, standards, voice, speech, accuracy, linguistics, audio, processes, privacy, individuals, online, legal, knowledge, asset, recovery, help, retrieve, lost, files, content, moderator, review, filter, appropriateness, cultural, safe, discussion, spaces, conflict, resolution, events, director, conferences, gatherings, project, builder, grow, shared, interests, goals, social, media, relationship, oversee, launch, inclusive, solutions, customer, study, interaction, satisfaction, ml, python, tensorflow, statistics, architect, comprehensive, enterprise, compliance, owner, roadmap, agile, methodologies, stakeholder, scalable, migration, aws, azure, microservices, cost, optimize, contracts, solidity, web3, javascript, senior, scale, architecture, multiple, lead, big, tools, conduct, inform, methods, provide, expertise, support, sales, success, writer, documentation, writing, understanding, scrum, master, facilitate, validator, track, scripting, sql, backup, performance, tuning, engagement, desk, technician, first, level, end, service, principal, initiatives, advanced, kubernetes, coding, wide, complex, mentoring, head, portfolio, direction, vp, site, reliability, incident, response, junior, guidance, debugging, version, issues, installer, clients, cisco, excellence, delivery, workflows, cross, functions, prompt, nlp, experimentation, conversational, activated, policy, home, set, configure, real, simulation, iot, reporting, personal, coach, lives, verify, labeling, supervisor, tagging, annotation, safety, vr, base, instructional, interview, objectivity, resources, chatbot, flows, assistants, new, account, afar, boost, participation, feedback, collect, manuals, rollouts, officer, advocate, promote, tech, advocacy, ease, journey, map, guidelines, driven, assessor, candidates, job, lifecycle, stages, growth, membership, hacking, localization, global, translation, champion, needs, crisis, handle, emergencies, input, guide, find, scheduler, timelines, beta, try, feature, milestones, check, release, articles, behavior, employee, prioritization, rank, ideas, usage, interpretation, abuse, questions, creation, suggestions, meet, audit, teach, best, practices, dashboard, persona, profiles, posts, describe, saas, marketplace, fraud, detect, prevent, commerce, investigation, enforce, onboarding, setup, qa, deliver, curriculum, drive, increase, loyalty, enhance, campaign, partnerships, negotiation, retention"
tourism,"sustainable, tourism, guide, lead, eco, friendly, travel, experiences, preserving, destinations, environmental, awareness, communication, cultural, knowledge, problem, solving, tour, provide, information, visitors, public, speaking, local, customer, service, walking, standing, virtual, reality, immersive, vr, environments, technology, storytelling, creativity"
transportation,"truck, driver, transport, goods, safely, efficiently, long, distances, safety, awareness, time, management, navigation, stress, physical, stamina, train, conductor, operate, ensure, passengers, communication, attention, detail, responsibility, problem, solving, bus, scheduled, routes, customer, service, patience, taxi, provide, delivery, deliver, packages, courier, fast, documents, ice, road, trucker, frozen, waterways, cold, weather, driving, conditions, assessment, vehicle, maintenance, isolation, tolerance, risk, magnetic, levitation, engineer, design, systems, using, forces, electric, innovation, skills, scooter, mechanic, repair, maintain, bikes, diagnostics"
travel tourism,"travel, agent, plan, book, arrangements, clients, customer, service, organization, communication, research, skills, problem, solving"
urban development,"smart, city, planner, design, technology, integrated, urban, environments, planning, systems, analysis, innovation, strategic, thinking, mobility, transportation, solutions, growing, data, communication"
warehousing,"forklift, operate, move, materials, warehouse, safety, awareness, spatial, attention, detail, physical, coordination, responsibility, management, oversee, inventory, leadership, organization, problem, solving, communication, associate, handle, order, fulfillment, stamina, systems, clerk, track, levels, stock, movements, data, entry, computer, skills"
weather services,"atmospheric, river, forecaster, predict, extreme, weather, patterns, flooding, meteorology, data, analysis, mathematical, modeling, research, skills, communication, storm, chaser, document, severe, phenomena, media, photography, safety, protocols, problem, solving, risk, assessment"
wellness,"digital, detox, coaching, help, individuals, reduce, technology, dependency, overwhelm, counseling, skills, psychology, awareness, communication, goal, setting, meditation, teacher, instruct, groups, mindfulness, practices, training, empathy, teaching, stress, management, sensory, deprivation, tank, operator, maintain, flotation, therapy, equipment, facilities, customer, service, maintenance, safety, protocols, problem, solving, relaxation, techniques, minimalism, people, simplify, lives, screen, time, lifestyle, wellness, develop, healthy, relationships, sound, bath, practitioner, provide, therapeutic, healing, sessions, musical, sabbath, consultant, organizations, implement, breaks, eating, food, nutrition, retreat, leader, lead, free, experiences, event, planning, leadership, outdoor, virtual, reality, guide, immersive, environments, program, coordinator, balance, initiatives, app, users, health, motivation"
