Group_Industry,Combined_Vocab,Word_Count
nonprofit,"analytics, campaign, communication, coordinator, digital, donation, drives, empathy, execute, fundraising, giving, lead, management, marketing, nonprofits, online, organization, plan, project, remote, specialist, strategist, strategy, technology, volunteer",25
oil gas,"awareness, cad, design, drilling, engineer, equipment, extraction, gas, geology, management, methods, offshore, oil, operate, petroleum, physical, platforms, problem, protocols, reservoir, resources, rig, safety, solving, stamina, stress, teamwork, technology, worker",29
personal care,"awareness, client, coloring, communication, creativity, cutting, dexterity, hair, manual, provide, relations, services, styling, stylist, trend",15
pest control,"animal, attention, awareness, bee, colonies, control, customer, detail, eliminate, environmental, handling, harm, identify, infestations, pest, problem, protocols, relocate, removal, safely, safety, service, solving, specialist, technician, without",26
photography,"aerial, aircraft, artistic, aviation, bereavement, capture, communication, composition, discretion, document, drones, empathy, equipment, families, final, images, memorial, moments, photographer, photography, pilot, protocols, safety, services, skills, technical, video, visual",28
public safety,"assessment, attention, awareness, bomb, communication, detail, devices, disarm, disposal, emergency, enforce, ethical, expert, explosive, fighter, fire, fitness, hands, knowledge, laws, maintain, management, officer, physical, police, problem, provide, public, reasoning, respond, risk, safely, safety, situations, solving, steady, stress, suppression, teamwork",39
real estate,"agent, building, buy, clients, communication, estate, help, knowledge, market, negotiation, persistence, properties, real, relationship, rent, sell",16
recreation,"activity, aid, amusement, areas, assist, attendant, attention, awareness, boat, camp, children, communication, coordinator, counselor, course, cpr, creativity, customer, detail, early, ensure, environmental, equipment, expeditions, facilities, first, fitness, golf, grounds, guests, guide, hours, instructions, knowledge, labor, landscaping, lead, leadership, lifeguard, lift, maintain, maintenance, management, monitor, navigation, operation, organize, outdoor, park, patience, physical, plan, playing, problem, procedures, programs, provide, recreation, rent, rental, rides, safety, service, ski, skiers, skills, solving, stamina, supervise, surfaces, survival, swimmers, swimming, teach, time, tolerance, vigilance, weather, wilderness",79
regulatory affairs,"affairs, analytical, attention, communication, compliance, detail, ensure, ethical, industry, laws, officer, organization, organizational, problem, reasoning, regulations, regulatory, solving, specialist, thinking",20
research development,"analytical, attention, collect, communication, computer, conduct, critical, data, detail, findings, patience, persistence, publish, reasoning, research, respondents, scientific, scientist, skills, survey, taker, thinking, writing",23
retail,"accuracy, arrange, assist, associate, attention, cash, cashier, clerk, color, communication, creativity, customer, design, detail, dexterity, florist, flowers, grocery, handling, information, inventory, items, jeweler, jewelry, knowledge, labor, management, manual, mathematics, merchandise, multitasking, occasions, organization, patience, payments, persuasion, physical, point, precious, process, product, provide, purchases, receive, repair, retail, sales, service, shelves, skills, stock, stores, systems, teamwork, theory, transactions, various, visual",58
risk management,"analyst, analytical, assess, business, communication, critical, identify, management, mitigation, problem, research, risk, skills, solving, strategies, thinking",16
robotics,"automated, design, engineer, innovation, integration, mechanical, problem, program, robots, solving, systems",11
safety compliance,"awareness, communication, coordinator, develop, implement, leadership, problem, programs, safety, skills, solving, training, workplace",13
sales,"across, analysis, analyst, analytics, analyze, assistant, audiences, building, business, calls, clean, clients, close, commerce, communication, computer, consultant, consumers, crm, customer, data, deals, demo, development, digital, energy, engaged, entry, executive, features, feedback, gather, generate, geographic, goal, growth, host, identify, information, keep, knowledge, lead, leadership, loyal, make, management, market, marketplace, negotiation, new, online, operations, opportunities, organization, orientation, outbound, oversee, panels, persistence, persuasion, phone, platforms, potential, presence, presentation, problem, process, product, promote, prospects, pursue, qualify, regions, relations, relationship, remote, renewable, reporting, representative, resilience, retention, revenue, reviews, sales, sell, service, showcase, skills, solar, solving, specialist, strategy, stress, surveys, systems, team, technology, telemarketer, territory, vendor, virtual, vp",102
security,"attention, awareness, communication, customer, detail, dexterity, emergency, ensure, fitness, guard, install, locks, locksmith, management, manual, monitor, observation, people, physical, premises, problem, procedures, property, protect, repair, response, safety, security, service, skills, solving, stress, systems, vigilance",34
sports,"analysis, assessment, athletes, awareness, coach, communication, competitive, develop, eaters, eating, empathy, fitness, game, immersive, improve, injury, innovation, knowledge, leadership, motivation, nutrition, performance, physical, prevention, problem, professional, provide, psychology, reality, safety, skills, solving, sports, strategic, strategies, technology, thinking, train, trainer, treatment, use, virtual",42
technology,"3d, abuse, accessibility, account, accuracy, activated, adapt, administrator, advanced, advise, advocacy, advocate, afar, agile, ai, algorithm, analysis, analyst, analytics, analyze, android, annotation, app, applications, appropriateness, architect, architecture, articles, artificial, assessment, assessor, asset, assistants, assurance, attention, audio, audit, auditor, augmented, automation, autonomous, awareness, aws, azure, backup, base, behavior, best, beta, bias, big, blend, blockchain, boost, bug, build, builder, business, campaign, candidates, cd, centered, champion, chatbot, check, ci, cisco, clients, cloud, coach, coding, collaboration, collect, commerce, communication, complex, compliance, comprehensive, computer, conduct, conferences, configure, conflict, consultant, content, continuous, contracts, control, conversational, coordinator, cost, create, creation, creativity, crisis, critical, cross, cryptocurrency, cryptographer, cryptography, cultural, currency, curriculum, customer, cybersecurity, dashboard, data, database, datasets, debugging, decentralized, decisions, define, deliver, delivery, describe, design, desk, detail, detect, development, devices, devops, digital, dimensional, direction, director, disabilities, discussion, displays, distributed, documentation, drive, driven, ease, electronics, emergencies, empathy, employee, encryption, end, energy, enforce, engagement, engineering, enhance, ensure, enterprise, equipment, ethical, evaluate, events, excellence, experience, experimentation, expertise, extract, facilitate, fairness, feature, feedback, files, filter, find, first, flows, frameworks, fraud, friendly, functions, gatherings, global, goals, groups, grow, growth, guidance, guide, guidelines, hacker, hacking, handle, hardware, head, health, help, holographic, home, ideas, identify, immersive, implement, improve, incident, inclusive, increase, individuals, inform, infrastructure, initiatives, innovation, input, insights, installer, instructional, instruments, integrity, intelligence, interaction, interests, interfaces, interpretation, interview, intuitive, investigation, ios, iot, issues, javascript, job, journey, junior, knowledge, kubernetes, labeling, languages, large, launch, lead, leadership, learning, legal, level, lifecycle, linguistics, lives, localization, logical, lost, loyalty, machine, maintain, making, management, manuals, map, market, marketplace, master, mathematics, measurement, mechanics, media, meet, membership, mentoring, methodologies, methods, microservices, migration, milestones, mindset, mining, ml, mobile, models, moderator, modern, monitor, multiple, needs, negotiation, network, new, nlp, objectivity, officer, onboarding, online, operations, optical, optimize, organization, oversee, owner, participation, partnerships, patience, pattern, people, performance, persona, personal, physics, pipelines, plan, platforms, policy, portfolio, posts, practices, precise, predictive, prevent, principal, principles, prioritization, privacy, problem, processes, product, profiles, programming, project, promote, prompt, protect, protocols, prototyping, provide, psychology, python, qa, quality, quantum, questions, rank, real, reality, reasoning, recognition, recovery, relationship, release, reliability, remote, replicas, reporting, research, resolution, resources, response, retention, retrieve, review, risk, roadmap, robots, rollouts, saas, safe, safety, sales, satisfaction, scalable, scale, scheduler, science, scientist, scripting, scrum, security, senior, sensor, service, set, setup, shared, simulation, site, skills, smart, social, software, solidity, solutions, solving, spaces, spatial, specialist, speech, sql, stages, stakeholder, standards, statistics, strategic, strategy, study, success, suggestions, supervisor, support, swarm, systematic, systems, tagging, teach, teams, tech, technical, technician, technology, telepresence, tensorflow, tester, testing, thinking, threats, three, timelines, together, tools, track, trainer, training, translation, troubleshooting, try, tuning, twin, ultra, understanding, usability, usage, use, user, ux, validator, various, verify, version, virtual, vision, visual, voice, vp, vr, vulnerabilities, wearable, web, web3, websites, wide, workflows, working, world, writer, writing",449
tourism,"awareness, communication, creativity, cultural, customer, destinations, eco, environmental, environments, experiences, friendly, guide, immersive, information, knowledge, lead, local, preserving, problem, provide, public, reality, service, solving, speaking, standing, storytelling, sustainable, technology, tour, tourism, travel, virtual, visitors, vr, walking",36
transportation,"assessment, attention, awareness, bikes, bus, cold, communication, conditions, conductor, courier, customer, deliver, delivery, design, detail, diagnostics, distances, documents, driver, driving, efficiently, electric, engineer, ensure, fast, forces, frozen, goods, ice, innovation, isolation, levitation, long, magnetic, maintain, maintenance, management, mechanic, navigation, operate, packages, passengers, patience, physical, problem, provide, repair, responsibility, risk, road, routes, safely, safety, scheduled, scooter, service, skills, solving, stamina, stress, systems, taxi, time, tolerance, train, transport, truck, trucker, using, vehicle, waterways, weather",72
travel tourism,"agent, arrangements, book, clients, communication, customer, organization, plan, problem, research, service, skills, solving, travel",14
urban development,"analysis, city, communication, data, design, environments, growing, innovation, integrated, mobility, planner, planning, smart, solutions, strategic, systems, technology, thinking, transportation, urban",20
warehousing,"associate, attention, awareness, clerk, communication, computer, coordination, data, detail, entry, forklift, fulfillment, handle, inventory, leadership, levels, management, materials, move, movements, operate, order, organization, oversee, physical, problem, responsibility, safety, skills, solving, spatial, stamina, stock, systems, track, warehouse",36
wellness,"app, awareness, balance, bath, breaks, coaching, communication, consultant, coordinator, counseling, customer, dependency, deprivation, detox, develop, digital, eating, empathy, environments, equipment, event, experiences, facilities, flotation, food, free, goal, groups, guide, healing, health, healthy, help, immersive, implement, individuals, initiatives, instruct, lead, leader, leadership, lifestyle, lives, maintain, maintenance, management, meditation, mindfulness, minimalism, motivation, musical, nutrition, operator, organizations, outdoor, overwhelm, people, planning, practices, practitioner, problem, program, protocols, provide, psychology, reality, reduce, relationships, relaxation, retreat, sabbath, safety, screen, sensory, service, sessions, setting, simplify, skills, solving, sound, stress, tank, teacher, teaching, techniques, technology, therapeutic, therapy, time, training, users, virtual, wellness",94
